object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,standardized_period,standardized_type,standardized_material,culture,data_quality_score,_artist,_place_of_origin,_style,_department,_technique,_image_id,_classification,_image_valid,is_duplicate,title_original_en,period_original_en,type_original_en,material_original_en,description_original_en,culture_original_en,credit_line_original_en,standardized_period_original_en,standardized_type_original_en,standardized_material_original_en,aligned_museum,aligned_period,aligned_type,aligned_material
73995,一位女士坐着,1893,,用黑色墨水在灰色象牙瓷纸上用毛笔和象牙刮擦和触摸的石版画,,Image: 19.3 × 17.2 cm (7 5/8 × 6 13/16 in.); Sheet: 27.6 × 22.3 cm (10 7/8 × 8 13/16 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/73995,"https://www.artic.edu/iiif/2/5bc9f1b1-b4df-283d-af7a-fd763b913fe0/full/843,/0/default.jpg",,Bryan Lathrop的遗赠,,2026-05-27,1893,未知,象牙,未知,0.8,"James McNeill Whistler
American, 1834-1903",United States,,Prints and Drawings,,5bc9f1b1-b4df-283d-af7a-fd763b913fe0,,,True,A Lady Seated,1893,,"Lithograph, in black ink, with scraping and touches of brush and tusche, on grayish ivory China paper",,Unknown,Bequest of Bryan Lathrop,1893,Unknown,Ivory,Art Institute of Chicago,Qing dynasty (c. 1893),未知,象牙
22746,中国北京,1957,,明胶银印,,Image/paper: 25.8 × 17.1 cm (10 3/16 × 6 3/4 in.); Mount: 45.8 × 35.6 cm (18 1/16 × 14 1/16 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/22746,"https://www.artic.edu/iiif/2/d6235041-ad61-acbd-ece9-a336037b9e2d/full/843,/0/default.jpg",,马克·吕布的礼物,,2026-05-27,1957,未知,明胶银,未知,0.8,"Marc Riboud
French, 1923-2016",France,,Photography and Media,,d6235041-ad61-acbd-ece9-a336037b9e2d,,,False,"Peking, China",1957,,Gelatin silver print,,Unknown,Gift of Marc Riboud,1957,Unknown,Gelatin silver,Art Institute of Chicago,Qing dynasty (c. 1957),未知,银
20000,安妮,1857/58,,用黑色墨水在米白色的宣纸上用粗口蚀刻，宣纸放在米白色编织纸上,,Plate: 11.9 × 8 cm (4 11/16 × 3 3/16 in.); Sheet: 30.2 × 25 cm (11 15/16 × 9 7/8 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/20000,"https://www.artic.edu/iiif/2/12643adb-a6be-5a36-8872-e006ce6880a7/full/843,/0/default.jpg",,布莱恩·莱思罗普收藏,,2026-05-27,1857/58,未知,用黑色墨水在米白色的宣纸上用粗口蚀刻，宣纸放在米白色编织纸上（ch,未知,0.8,"James McNeill Whistler
American, 1834-1903",United States,,Prints and Drawings,,12643adb-a6be-5a36-8872-e006ce6880a7,,,True,Annie,1857/58,,Etching with foul biting in black ink on off-white China paper laid down on off-white wove paper (chine collé),,Unknown,Bryan Lathrop Collection,1857/58,Unknown,Etching with foul biting in black ink on off-white China paper laid down on off-white wove paper (ch,Art Institute of Chicago,Qing dynasty (c. 1857),未知,墨水
138054,La Vieille aux Loques（衣衫褴褛的老妇人）,1858,,在浅灰色瓷纸上用黑色墨水进行蚀刻和干点,,Plate: 20.7 × 14.7 cm (8 3/16 × 5 13/16 in.); Sheet: 26 × 20.2 cm (10 1/4 × 8 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/138054,"https://www.artic.edu/iiif/2/0642de3e-db46-4169-b7fb-fe471ea88614/full/843,/0/default.jpg",,弗雷德里克·吉宝的礼物,,2026-05-27,1858,未知,在浅灰色瓷纸上用黑色墨水进行蚀刻和干点,未知,0.8,"James McNeill Whistler
American, 1834-1903",United States,,Prints and Drawings,,0642de3e-db46-4169-b7fb-fe471ea88614,,,False,La Vieille aux Loques (The Old Woman with Rags),1858,,Etching and drypoint with foul biting in black ink on light gray China paper,,Unknown,Gift of Frederick Keppel,1858,Unknown,Etching and drypoint with foul biting in black ink on light gray China paper,Art Institute of Chicago,Qing dynasty (c. 1858),未知,瓷
227552,中国文章,1843-44,,盐渍纸印刷,,Image: 13.7 × 18.2 cm (5 7/16 × 7 3/16 in.); Paper: 18.7 × 22.4 cm (7 3/8 × 8 5/8 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/227552,"https://www.artic.edu/iiif/2/252bafc9-bd60-4ccc-c133-9e0e0b9c5327/full/843,/0/default.jpg",,玛丽和李街区捐赠基金,,2026-05-27,1843-44,未知,盐渍纸印刷,未知,0.8,"William Henry Fox Talbot
English, 1800-1877",England,19th century,Photography and Media,,252bafc9-bd60-4ccc-c133-9e0e0b9c5327,,,False,Articles of China,1843-44,,Salted paper print,,Unknown,The Mary and Leigh Block Endowment Fund,1843-44,Unknown,Salted paper print,Art Institute of Chicago,Qing dynasty (c. 1843),未知,纸
198854,鄂尔多斯100，地块006，内蒙古，中国,2008,,数字视频,,,Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/198854,"https://www.artic.edu/iiif/2/c057b163-5fb2-24de-886f-af4c24cbec85/full/843,/0/default.jpg",,西莉亚和大卫·希利亚德基金,,2026-05-27,2008,未知,数字视频,未知,0.75,"MOS (American, founded 2003)
Michael Meredith (American, born 1971)
Hillary Sample (American, born 1971)",,21st Century,Architecture and Design,,c057b163-5fb2-24de-886f-af4c24cbec85,,,False,"Ordos 100, Lot 006, Inner Mongolia, China",2008,,Digital video,,Unknown,Celia and David Hilliard Fund,2008,Unknown,Digital video,Art Institute of Chicago,Qing dynasty (c. 2008),未知,
60915,Yoke后扶手椅,明末清初，17世纪,,黄花梨木配松木座椅板和编织藤条座椅,,113.1 × 56.9 × 47 cm (44 1/2 × 22 3/8 × 18 1/2 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/60915,,,美国中国之友的礼物,,2026-05-27,清朝（1644-1912）,未知,木头,中文,0.6000000000000001,China,China,Chinese (culture or style),Arts of Asia,,,,False,True,Yoke-Back Armchair,"Late Ming or early Qing dynasty, 17th century",,Huanghuali wood with pine seat boards and woven cane seat,,Chinese,Gift of the American Friends of China,Qing dynasty (1644-1912),Unknown,Wood,Art Institute of Chicago,Qing dynasty (c. 1644),未知,木头
189775,《中国皇帝的故事》中的皇帝扬帆起航,1716/22,,羊毛、丝绸、镀银和镀金金属条包裹的丝绸、狭缝和双联锁挂毯编织，某些区域有2:2的镀银和镀金的金属条平纹交织,,385.8 × 355 cm (151 3/4 × 139 3/4 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/189775,"https://www.artic.edu/iiif/2/17455fc4-14ec-b892-93d2-ebf89c7c689e/full/843,/0/default.jpg",,查尔斯H.伍斯特基金夫妇,,2026-05-27,1716/22,未知,银,未知,0.8,"After a design by Guy-Louis Vernansal (French, 1648–1729) and others
Woven at the Manufacture Royale de Beauvais under the direction of Pierre and Etienne Filleul (codirectors, 1711–22)
France, Beauvais",Beauvais,,Textiles,,17455fc4-14ec-b892-93d2-ebf89c7c689e,,,False,The Emperor Sailing from The Story of the Emperor of China,1716/22,,"Wool, silk, and silvered- and-gilt-metal-strip-wrapped silk, slit and double interlocking tapestry weave with some areas of 2:2 plain interlacings of silvered-and-gilt-metal wefts",,Unknown,Mr. and Mrs. Charles H. Worcester Fund,1716/22,Unknown,Silver,Art Institute of Chicago,Qing dynasty (c. 1716),未知,银
48,割草机珩磨镰刀,1878,,在白色编织纸上的象牙中国纸上蚀刻（中国纸collé）,,Plate: 19.7 × 25.8 cm (7 13/16 × 10 3/16 in.); Sheet: 25.6 × 35.4 cm (10 1/8 × 13 15/16 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/48,"https://www.artic.edu/iiif/2/a302e9f4-7c4b-86c5-524f-594a42b7b182/full/843,/0/default.jpg",,伊丽莎白·哈蒙德Stickney系列,,2026-05-27,1878,未知,象牙,未知,0.8,"Jules Bastien-Lepage
French, 1848-1884",France,,Prints and Drawings,,a302e9f4-7c4b-86c5-524f-594a42b7b182,,,False,Mower Honing a Scythe,1878,,Etching on ivory China paper laid down on white wove paper (China paper collé),,Unknown,Elizabeth Hammond Stickney Collection,1878,Unknown,Ivory,Art Institute of Chicago,Qing dynasty (c. 1878),未知,象牙
15033,杯碟,约1820年,,单色紫色镀金瓷器,,"Cup: 7.1 × 12.1 cm (2 13/16 × 4 3/4 in.)
diam. 10.2 cm (4 in.)
 Saucer: H. 3.5 cm (1 3/8 in.)
diam. 15.6 cm (6 1/8 in.)",Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/15033,"https://www.artic.edu/iiif/2/c0f74cdb-9097-110e-74d2-0d472190c5c1/full/843,/0/default.jpg",,尤金·D·布坎南的礼物,,2026-05-27,约1820年,未知,瓷,未知,0.8,"Wedgwood Manufactory
England, founded 1759",Burslem,,Applied Arts of Europe,,c0f74cdb-9097-110e-74d2-0d472190c5c1,,,False,Cup and Saucer,c. 1820,,Porcelain with monochrome purple and gilding,,Unknown,Gift of Eugene D. Buchanan,c. 1820,Unknown,Porcelain,Art Institute of Chicago,Qing dynasty (c. 1820),未知,瓷
14447,“Douze Eaux Fortes d'après Nature”的扉页,1858,,用黑色墨水在象牙编织纸上的棕褐色中国纸上用粗口蚀刻,,Plate: 11.2 × 14.7 cm (4 7/16 × 5 13/16 in.); Sheet: 30.9 × 43.8 cm (12 3/16 × 17 1/4 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/14447,"https://www.artic.edu/iiif/2/5b20e560-e10b-f7fc-61b1-840a45e76bcf/full/843,/0/default.jpg",,沃尔特·布鲁斯特的礼物,,2026-05-27,1858,未知,象牙,未知,0.8,"James McNeill Whistler
American, 1834-1903",United States,,Prints and Drawings,,5b20e560-e10b-f7fc-61b1-840a45e76bcf,,,False,The Title Page for 'Douze Eaux Fortes d'après Nature',1858,,Etching with foul biting in black ink on tan China paper laid down on ivory wove paper,,Unknown,Gift of Walter S. Brewster,1858,Unknown,Ivory,Art Institute of Chicago,Qing dynasty (c. 1858),未知,象牙
119371,《纽约时报》，横向/中国时报，纵向,1971–79,,由剪切、粘贴和编织的报纸条组成的拼贴,,76.2 × 55.9 cm (30 × 22 1/16 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/119371,"https://www.artic.edu/iiif/2/1b549824-64bf-6975-7148-b88d9a4a1507/full/843,/0/default.jpg",,玛格丽特·费舍尔基金会,,2026-05-27,1971–79,未知,由剪切、粘贴和编织的报纸条组成的拼贴,未知,0.8,"Laurie Anderson
American, born 1947",United States,,Prints and Drawings,,1b549824-64bf-6975-7148-b88d9a4a1507,,,False,"New York Times, Horizontal/China Times, Vertical",1971–79,,"Collage composed of cut, pasted, and woven newspaper strips",,Unknown,Margaret Fisher Endowment,1971–79,Unknown,"Collage composed of cut, pasted, and woven newspaper strips",Art Institute of Chicago,Qing dynasty (c. 1971),未知,纸
199136,Ladislav Sutnar瓷器（黑边）,1932,,明胶银印,,Image: 23.2 × 17.1 cm (9 3/16 × 6 3/4 in.); Paper: 23.9 × 17.9 cm (9 7/16 × 7 1/16 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/199136,"https://www.artic.edu/iiif/2/45d89dd3-d107-0378-6493-2618f453c227/full/843,/0/default.jpg",,劳拉·T·马格努森收购基金,,2026-05-27,1932,未知,明胶银,未知,0.8,"Josef Sudek
Czech, 1896–1976",Czech Republic,,Photography and Media,,45d89dd3-d107-0378-6493-2618f453c227,,,False,Ladislav Sutnar china (with black rim),1932,,Gelatin silver print,,Unknown,Laura T. Magnuson Acquisition Fund,1932,Unknown,Gelatin silver,Art Institute of Chicago,Qing dynasty (c. 1932),未知,银
32740,从Angelica门看圣彼得大教堂,未注明日期,,纸上水彩,,33.2 × 29.4 cm (13 1/8 × 11 5/8 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/32740,"https://www.artic.edu/iiif/2/27493885-3545-f65a-2971-06a8d17d0818/full/843,/0/default.jpg",,China Robbins Loring女士为纪念母亲China Lee Logeman而赠送的礼物,,2026-05-27,未注明日期,未知,水彩,未知,0.8,"Joseph Mallord William Turner
English, 1775-1851",England,,Prints and Drawings,,27493885-3545-f65a-2971-06a8d17d0818,,,False,St. Peter’s Seen Through the Porta Angelica,n.d.,,Watercolor on paper,,Unknown,"Gift of Mrs. China Robbins Loring in memory of her mother, China Lee Logeman",n.d.,Unknown,Watercolor,Art Institute of Chicago,未注明日期,未知,水彩
188274,金茂大厦，上海，中国，透视,1993–1998,,黄色描图纸上的墨水,,38 × 33 cm (15 × 13 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/188274,"https://www.artic.edu/iiif/2/3adc61ff-2ae8-8b37-df29-bd66d80e72dd/full/843,/0/default.jpg",,Skidmore、Owings和Merrill的礼物,,2026-05-27,清朝（1993-1998）,未知,黄色描图纸上的墨水,未知,0.8,"Skidmore, Owings & Merrill (American, founded 1936)
Adrian D. Smith (American, born 1944)",Shanghai,20th Century,Architecture and Design,,3adc61ff-2ae8-8b37-df29-bd66d80e72dd,,,False,"Jin Mao Tower, Shanghai, China, Perspective",1993–1998,,Ink on yellow tracing paper,,Unknown,"Gift of Skidmore, Owings and Merrill",Qing dynasty (1993-1998),Unknown,Ink on yellow tracing paper,Art Institute of Chicago,Qing dynasty (c. 1993),未知,墨水
147872,罗伯特·德·孟德斯鸠伯爵,1894,,灰色象牙色编织瓷纸上的石版画,,"Image, cat. wrksht: 20.9 × 8.9 cm (8 1/4 × 3 9/16 in.); Sheet: 35.5 × 26.4 cm (14 × 10 7/16 in.)",Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/147872,"https://www.artic.edu/iiif/2/9bb11755-b56a-f20f-3d70-daf53b4500dd/full/843,/0/default.jpg",,皇室为纪念詹姆斯·N·伍德而赠送的礼物,,2026-05-27,1894,未知,象牙,未知,0.8,"Beatrix Godwin Whistler
English, 1857-1896",Paris,,Prints and Drawings,,9bb11755-b56a-f20f-3d70-daf53b4500dd,,,True,Count Robert de Montesquiou,1894,,Lithograph on grayish-ivory wove china paper,,Unknown,Gift of the Crown Family in honor of James N. Wood,1894,Unknown,Ivory,Art Institute of Chicago,Qing dynasty (c. 1894),未知,象牙
75330,绘画桌,清朝（1644-1911），17世纪末/18世纪初,,黄花梨木,,80 × 138.8 × 42.9 cm (31 1/2 × 54 5/8 × 16 7/8 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/75330,"https://www.artic.edu/iiif/2/de64407b-b549-3bc5-ef26-50289d5f37f5/full/843,/0/default.jpg",,美国中国之友的礼物,,2026-05-27,清朝（1644-1912）,未知,木头,中文,0.8,China,China,Chinese (culture or style),Arts of Asia,,de64407b-b549-3bc5-ef26-50289d5f37f5,,,False,Painting Table,"Qing dynasty (1644–1911), late 17th/early 18th century",,Huanghuali wood,,Chinese,Gift of the American Friends of China,Qing dynasty (1644-1912),Unknown,Wood,Art Institute of Chicago,Qing dynasty (c. 1644),未知,木头
121044,洛沃斯角中国湾,1940年，1953/54年印刷,,明胶银印,,Image/paper: 24.2 × 19.4 cm (9 9/16 × 7 11/16 in.); Mount: 40.6 × 34.9 cm (16 × 13 3/4 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/121044,"https://www.artic.edu/iiif/2/7f79e693-690f-3cf1-2b40-f288094bfb8b/full/843,/0/default.jpg",,马克斯·麦格劳的礼物,,2026-05-27,1940年，1953/54年印刷,未知,明胶银,未知,0.8,"Edward Weston (American, 1886–1958)
printed by Brett Weston (American, 1911–1993)",United States,,Photography and Media,,7f79e693-690f-3cf1-2b40-f288094bfb8b,,,False,"China Cove, Point Lobos","1940, printed 1953/54",,Gelatin silver print,,Unknown,Gift of Max McGraw,"1940, printed 1953/54",Unknown,Gelatin silver,Art Institute of Chicago,Qing dynasty (c. 1940),未知,银
65,克里乌尔悬崖附近的渔船,1878,,在白色编织纸上的中国纸上蚀刻,,Image: 18.6 × 27.2 cm (7 3/8 × 10 3/4 in.); Sheet: 24 × 35.1 cm (9 1/2 × 13 7/8 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/65,"https://www.artic.edu/iiif/2/6983bf9e-3cd8-c42d-4c91-cd646c97399c/full/843,/0/default.jpg",,伊丽莎白·哈蒙德Stickney系列,,2026-05-27,1878,未知,在白色编织纸上的中国纸上蚀刻,未知,0.8,"Adolphe Appian
French, 1818-1898",France,,Prints and Drawings,,6983bf9e-3cd8-c42d-4c91-cd646c97399c,,,False,Fishing Craft near the Cliffs at Collioure,1878,,Etching on China paper colle laid down on white wove paper,,Unknown,Elizabeth Hammond Stickney Collection,1878,Unknown,Etching on China paper colle laid down on white wove paper,Art Institute of Chicago,Qing dynasty (c. 1878),未知,纸
139460,La Danseuse：裸体研究,大概1891年,,灰色象牙纸上的黑色转印石版画,,Image: 15.7 × 12 cm (6 3/16 × 4 3/4 in.); Sheet: 33.8 × 21.3 cm (13 5/16 × 8 7/16 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/139460,"https://www.artic.edu/iiif/2/47730a04-373a-6bf8-fc85-d7e3d22f7981/full/843,/0/default.jpg",,皇室为纪念詹姆斯·N·伍德而赠送的礼物,,2026-05-27,大概1891年,未知,象牙,未知,0.8,"James McNeill Whistler
American, 1834-1903",United States,,Prints and Drawings,,47730a04-373a-6bf8-fc85-d7e3d22f7981,,,False,La Danseuse: A Study of the Nude,probably 1891,,Transfer lithograph in black on grayish ivory China paper,,Unknown,Gift of the Crown Family in honor of James N. Wood,probably 1891,Unknown,Ivory,Art Institute of Chicago,Qing dynasty (c. 1891),未知,象牙
