object_id,title,description,dimensions,accession_number,detail_url,image_url,aligned_period,aligned_type,aligned_material,data_quality_score
"1938,0524.6",山花饰,,,"1938,0524.6",https://www.britishmuseum.org/collection/object/A_1938-0524-6,https://media.britishmuseum.org/Repository/Documents/2014_9/29_19/3daddab6_e6a3_4d4e_a6cd_a3b50142a7e6/large_00160090_001.jpg,Ming dynasty (c. 1368),山花饰,,0.75
MAS.1073,山花饰,,,MAS.1073,https://www.britishmuseum.org/collection/object/A_MAS-1073,https://media.britishmuseum.org/Repository/Documents/2014_11/4_16/2acb8627_cd62_4eea_b263_a3d9010d5ef9/large_01172915_001.jpg,8日-10日,山花饰,,0.75
OA+.151,山花饰,,,OA+.151,https://www.britishmuseum.org/collection/object/A_OA-151,https://media.britishmuseum.org/Repository/Documents/2014_11/10_18/c20cdec5_950f_4f06_9734_a3df01318d73/large_01536246_001.jpg,Yuan dynasty (c. 1350),山花饰,,0.75
"2014,4004.11",入场券/纪念品,,,"2014,4004.11",https://www.britishmuseum.org/collection/object/C_2014-4004-11,https://media.britishmuseum.org/Repository/Documents/2014_11/10_7/1517b7a1_3b5d_4abd_9541_a3df007fcc54/large_01494035_001.jpg,Qing dynasty (c. 1982),入场券/纪念品,,0.75
"2014,4004.12",入场券/纪念品,,,"2014,4004.12",https://www.britishmuseum.org/collection/object/C_2014-4004-12,https://media.britishmuseum.org/Repository/Documents/2014_11/10_7/a999a0b9_7dc1_4efd_b1ce_a3df007fcd6d/large_01494036_001.jpg,Qing dynasty (c. 1982),入场券/纪念品,,0.75
"2005,0414.1",入场券,,,"2005,0414.1",https://www.britishmuseum.org/collection/object/C_2005-0414-1,,Qing dynasty (c. 2005),入场券,,0.75
"2014,4004.10",入场券/纪念品,,,"2014,4004.10",https://www.britishmuseum.org/collection/object/C_2014-4004-10,,Qing dynasty (c. 1982),入场券/纪念品,,0.75
"2014,4004.9",入场券/纪念品,,,"2014,4004.9",https://www.britishmuseum.org/collection/object/C_2014-4004-9,https://media.britishmuseum.org/Repository/Documents/2014_11/10_7/883e5063_fe30_4d91_bbc3_a3df007fc9bc/01494033_001.jpg,Qing dynasty (c. 1982),入场券/纪念品,,0.75
"2015,4055.1",入场券,,,"2015,4055.1",https://www.britishmuseum.org/collection/object/C_2015-4055-1,,Qing dynasty (c. 1980),入场券,,0.75
"2014,4034.8",纪念品/入场券,,,"2014,4034.8",https://www.britishmuseum.org/collection/object/C_2014-4034-8,https://media.britishmuseum.org/Repository/Documents/2014_11/10_19/d9be790b_940a_4cb8_afac_a3df013cfc26/large_01540203_001.jpg,Qing dynasty (c. 1980),纪念品/入场券,,0.75
"2015,4094.1",入场券,,,"2015,4094.1",https://www.britishmuseum.org/collection/object/C_2015-4094-1,,Qing dynasty (c. 1999),入场券,,0.75
"2009,4182.4",入场券,,,"2009,4182.4",https://www.britishmuseum.org/collection/object/C_2009-4182-4,,Qing dynasty (c. 1991),入场券,,0.75
"2015,4094.2",入场券,,,"2015,4094.2",https://www.britishmuseum.org/collection/object/C_2015-4094-2,,Qing dynasty (c. 1999),入场券,,0.75
"1993,0813,0.1",日历/新年印刷/广告,,,"1993,0813,0.1",https://www.britishmuseum.org/collection/object/A_1993-0813-0-1,https://media.britishmuseum.org/Repository/Documents/2014_10/4_18/c610b492_8806_4fe5_a6d4_a3ba012a9592/large_00248024_001.jpg,Qing dynasty (c. 1930),打印,,0.75
"1991,0219,0.11.1-3",新年印刷/书法/广告,,,"1991,0219,0.11.1-3",https://www.britishmuseum.org/collection/object/A_1991-0219-0-11-1-3,,Qing dynasty (c. 1980),打印,,0.75
"1986,0319,0.44",装饰纸/广告,,,"1986,0319,0.44",https://www.britishmuseum.org/collection/object/A_1986-0319-0-44,,未知,装饰纸/广告,,0.65
"As1906,1226.29",锛子,,,"As1906,1226.29",https://www.britishmuseum.org/collection/object/A_As1906-1226-29,,未知,锛子,,0.65
"1979,1012.4",锛子,,,"1979,1012.4",https://www.britishmuseum.org/collection/object/A_1979-1012-4,,未知,锛子,,0.65
"1979,1012.1",锛子,,,"1979,1012.1",https://www.britishmuseum.org/collection/object/A_1979-1012-1,,未知,锛子,,0.65
"1979,1012.39",锛子,,,"1979,1012.39",https://www.britishmuseum.org/collection/object/A_1979-1012-39,,未知,锛子,,0.65
"1979,1012.28",锛子,,,"1979,1012.28",https://www.britishmuseum.org/collection/object/A_1979-1012-28,,未知,锛子,,0.65
"1979,1012.5",锛子,,,"1979,1012.5",https://www.britishmuseum.org/collection/object/A_1979-1012-5,,未知,锛子,,0.65
"1979,1012.9",锛子,,,"1979,1012.9",https://www.britishmuseum.org/collection/object/A_1979-1012-9,,未知,锛子,,0.65
"1979,1012.23",锛子,,,"1979,1012.23",https://www.britishmuseum.org/collection/object/A_1979-1012-23,,未知,锛子,,0.65
"1979,1012.7",锛子,,,"1979,1012.7",https://www.britishmuseum.org/collection/object/A_1979-1012-7,,未知,锛子,,0.65
"1979,1012.14",锛子,,,"1979,1012.14",https://www.britishmuseum.org/collection/object/A_1979-1012-14,,未知,锛子,,0.65
"1979,1012.27",锛子,,,"1979,1012.27",https://www.britishmuseum.org/collection/object/A_1979-1012-27,,未知,锛子,,0.65
"1959,0216.15",锛子,,,"1959,0216.15",https://www.britishmuseum.org/collection/object/A_1959-0216-15,https://media.britishmuseum.org/Repository/Documents/2014_10/3_7/7c5cd94a_0045_4720_9463_a3b90081f607/large_00351902_001.jpg,Qing dynasty (c. 5000),锛子,,0.75
As.7097,工具/工具/adze,,,As.7097,https://www.britishmuseum.org/collection/object/A_As-7097,https://media.britishmuseum.org/Repository/Documents/2024_6/16_5/78571344_a0c8_4714_9ebc_b191005d7b68/large_IMG_1286.jpg,未知,工具/工具/adze,,0.65
OA+.3873,锛子,,,OA+.3873,https://www.britishmuseum.org/collection/object/A_OA-3873,,未知,锛子,,0.65
"1979,1012.8",锛子,,,"1979,1012.8",https://www.britishmuseum.org/collection/object/A_1979-1012-8,,未知,锛子,,0.65
OA+.3874,锛子,,,OA+.3874,https://www.britishmuseum.org/collection/object/A_OA-3874,,未知,锛子,,0.65
As.7104,锛子,,,As.7104,https://www.britishmuseum.org/collection/object/A_As-7104,https://media.britishmuseum.org/Repository/Documents/2024_6/17_17/9290e6ef_7c37_43e8_8344_b19201211738/large_IMG_1447.jpg,未知,锛子,,0.65
OA+.3872,锛子,,,OA+.3872,https://www.britishmuseum.org/collection/object/A_OA-3872,,未知,锛子,,0.65
OA+.3880,锛子,,,OA+.3880,https://www.britishmuseum.org/collection/object/A_OA-3880,https://media.britishmuseum.org/Repository/Documents/2025_12/31_13/1049865c_e886_448c_b5db_b3c400da48c5/large_As_7102_1.jpg,未知,锛子,,0.65
As.7093,锛子,,,As.7093,https://www.britishmuseum.org/collection/object/A_As-7093,https://media.britishmuseum.org/Repository/Documents/2024_6/16_5/c015c40b_ec43_4073_9021_b1910060ae79/large_IMG_1289.jpg,未知,锛子,,0.65
OA+.3878,锛子,,,OA+.3878,https://www.britishmuseum.org/collection/object/A_OA-3878,https://media.britishmuseum.org/Repository/Documents/2024_6/16_5/f02c165a_718e_4c7c_a17f_b191005fafa5/large_IMG_1288.jpg,未知,锛子,,0.65
"1979,1012.24",锛子,,,"1979,1012.24",https://www.britishmuseum.org/collection/object/A_1979-1012-24,,未知,锛子,,0.65
"1979,1012.18",锛子,,,"1979,1012.18",https://www.britishmuseum.org/collection/object/A_1979-1012-18,,未知,锛子,,0.65
"1979,1012.19",锛子,,,"1979,1012.19",https://www.britishmuseum.org/collection/object/A_1979-1012-19,,未知,锛子,,0.65
"1979,1012.20",锛子,,,"1979,1012.20",https://www.britishmuseum.org/collection/object/A_1979-1012-20,,未知,锛子,,0.65
"1959,0216.16",锛子,,,"1959,0216.16",https://www.britishmuseum.org/collection/object/A_1959-0216-16,https://media.britishmuseum.org/Repository/Documents/2014_11/1_3/b3db1707_8c8a_4165_92db_a3d600330396/large_01048677_001.jpg,Qing dynasty (c. 5000),锛子,,0.75
"1979,1012.6",锛子,,,"1979,1012.6",https://www.britishmuseum.org/collection/object/A_1979-1012-6,,未知,锛子,,0.65
"1979,1012.36",锛子,,,"1979,1012.36",https://www.britishmuseum.org/collection/object/A_1979-1012-36,,未知,锛子,,0.65
"1979,1012.32",锛子,,,"1979,1012.32",https://www.britishmuseum.org/collection/object/A_1979-1012-32,,未知,锛子,,0.65
"1979,1012.2",锛子,,,"1979,1012.2",https://www.britishmuseum.org/collection/object/A_1979-1012-2,,未知,锛子,,0.65
"1950,0405.18",锛子,,,"1950,0405.18",https://www.britishmuseum.org/collection/object/A_1950-0405-18,https://media.britishmuseum.org/Repository/Documents/2024_1/31_19/fc56f0f2_4c5a_4900_af3a_b10801498c84/large_1950_0405_18.jpg,第一不列颠哥伦比亚省,锛子,,0.75
"1979,1012.3",锛子,,,"1979,1012.3",https://www.britishmuseum.org/collection/object/A_1979-1012-3,,未知,锛子,,0.65
"1979,1012.33",锛子,,,"1979,1012.33",https://www.britishmuseum.org/collection/object/A_1979-1012-33,,未知,锛子,,0.65
"1979,1012.11",锛子,,,"1979,1012.11",https://www.britishmuseum.org/collection/object/A_1979-1012-11,,未知,锛子,,0.65
"1979,1012.12",锛子,,,"1979,1012.12",https://www.britishmuseum.org/collection/object/A_1979-1012-12,,未知,锛子,,0.65
"1979,1012.13",锛子,,,"1979,1012.13",https://www.britishmuseum.org/collection/object/A_1979-1012-13,,未知,锛子,,0.65
"1979,1012.26",锛子,,,"1979,1012.26",https://www.britishmuseum.org/collection/object/A_1979-1012-26,,未知,锛子,,0.65
"2018,6015.6",锛子,,,"2018,6015.6",https://www.britishmuseum.org/collection/object/W_2018-6015-6,,Qing dynasty (c. 2010),锛子,,0.75
"As1925,0615.1",锛子,,,"As1925,0615.1",https://www.britishmuseum.org/collection/object/A_As1925-0615-1,https://media.britishmuseum.org/Repository/Documents/2014_11/8_16/3929afd6_2918_4ce8_9cd9_a3dd010bd77b/large_01382425_001.jpg,未知,锛子,,0.65
"1979,1012.10",锛子,,,"1979,1012.10",https://www.britishmuseum.org/collection/object/A_1979-1012-10,,未知,锛子,,0.65
As.7098,锛子,,,As.7098,https://www.britishmuseum.org/collection/object/A_As-7098,https://media.britishmuseum.org/Repository/Documents/2024_6/17_17/d1f32b49_72a9_43f9_998f_b19201209d48/large_IMG_1451.jpg,未知,锛子,,0.65
OA+.3875,锛子,,,OA+.3875,https://www.britishmuseum.org/collection/object/A_OA-3875,,未知,锛子,,0.65
OA+.3881,锛子,,,OA+.3881,https://www.britishmuseum.org/collection/object/A_OA-3881,https://media.britishmuseum.org/Repository/Documents/2024_6/16_5/807c15b4_db39_46a3_86f1_b1910057458a/large_IMG_1281.jpg,未知,锛子,,0.65
As.7094,adze/斧头,,,As.7094,https://www.britishmuseum.org/collection/object/A_As-7094,https://media.britishmuseum.org/Repository/Documents/2024_6/16_6/1b2966c8_b788_48cf_a671_b191006578c6/large_IMG_1302.jpg,未知,adze/斧头,,0.65
OA+.3879,锛子,,,OA+.3879,https://www.britishmuseum.org/collection/object/A_OA-3879,https://media.britishmuseum.org/Repository/Documents/2024_6/16_5/24848104_2e52_4226_8a21_b191005511f9/large_IMG_1270.jpg,未知,锛子,,0.65
As.7095,锛子,,,As.7095,https://www.britishmuseum.org/collection/object/A_As-7095,https://media.britishmuseum.org/Repository/Documents/2024_6/16_5/0a8d5f43_b5d0_4a35_8e7c_b1910062393e/large_IMG_1291.jpg,未知,锛子,,0.65
"1979,1012.21",锛子,,,"1979,1012.21",https://www.britishmuseum.org/collection/object/A_1979-1012-21,,未知,锛子,,0.65
"1979,1012.15",锛子,,,"1979,1012.15",https://www.britishmuseum.org/collection/object/A_1979-1012-15,,未知,锛子,,0.65
"1979,1012.34",锛子,,,"1979,1012.34",https://www.britishmuseum.org/collection/object/A_1979-1012-34,,未知,锛子,,0.65
"1963,1014.6",锛子,,,"1963,1014.6",https://www.britishmuseum.org/collection/object/A_1963-1014-6,,未知,锛子,,0.65
"1979,1012.22",锛子,,,"1979,1012.22",https://www.britishmuseum.org/collection/object/A_1979-1012-22,,未知,锛子,,0.65
As.7099,锛子,,,As.7099,https://www.britishmuseum.org/collection/object/A_As-7099,https://media.britishmuseum.org/Repository/Documents/2025_12/31_13/3a9bac7e_4a8b_477d_ba54_b3c400d99a90/large_As_7099_1.jpg,未知,锛子,,0.65
"1979,1012.16",锛子,,,"1979,1012.16",https://www.britishmuseum.org/collection/object/A_1979-1012-16,,未知,锛子,,0.65
"1979,1012.35",锛子,,,"1979,1012.35",https://www.britishmuseum.org/collection/object/A_1979-1012-35,,未知,锛子,,0.65
"1979,1012.29",锛子,,,"1979,1012.29",https://www.britishmuseum.org/collection/object/A_1979-1012-29,,未知,锛子,,0.65
"1979,1012.17",锛子,,,"1979,1012.17",https://www.britishmuseum.org/collection/object/A_1979-1012-17,,未知,锛子,,0.65
"1979,1012.30",锛子,,,"1979,1012.30",https://www.britishmuseum.org/collection/object/A_1979-1012-30,,未知,锛子,,0.65
"1979,1012.43",锛子,,,"1979,1012.43",https://www.britishmuseum.org/collection/object/A_1979-1012-43,,未知,锛子,,0.65
"1979,1012.37",锛子,,,"1979,1012.37",https://www.britishmuseum.org/collection/object/A_1979-1012-37,,未知,锛子,,0.65
"1979,1012.31",锛子,,,"1979,1012.31",https://www.britishmuseum.org/collection/object/A_1979-1012-31,,未知,锛子,,0.65
"1979,1012.25",锛子,,,"1979,1012.25",https://www.britishmuseum.org/collection/object/A_1979-1012-25,,未知,锛子,,0.65
"1926,1204.24",aeolipile,,,"1926,1204.24",https://www.britishmuseum.org/collection/object/A_1926-1204-24,,未知,aeolipile,,0.65
"1936,1007.2",aeolipile,,,"1936,1007.2",https://www.britishmuseum.org/collection/object/A_1936-1007-2,,Qing dynasty (c. 1901),aeolipile,,0.75
"1936,1007.5",aeolipile,,,"1936,1007.5",https://www.britishmuseum.org/collection/object/A_1936-1007-5,,未知,aeolipile,,0.65
"1913,0721.7",aeolipile,,,"1913,0721.7",https://www.britishmuseum.org/collection/object/A_1913-0721-7,,Qing dynasty (c. 1900),aeolipile,,0.75
"1936,1007.3",aeolipile,,,"1936,1007.3",https://www.britishmuseum.org/collection/object/A_1936-1007-3,,未知,aeolipile,,0.65
"1905,0518.75.a-b",akor,,,"1905,0518.75.a-b",https://www.britishmuseum.org/collection/object/A_1905-0518-75-a-b,https://media.britishmuseum.org/Repository/Documents/2014_11/12_11/751bd836_b703_4f26_bd16_a3e100bfcb9c/large_00100519_001.jpg,19日C,akor,,0.75
Franks.807,阿尔巴雷洛,,,Franks.807,https://www.britishmuseum.org/collection/object/A_Franks-807,https://media.britishmuseum.org/Repository/Documents/2014_10/4_21/dc8cd806_9bb9_4892_856f_a3ba01619af2/large_00264110_001.jpg,Ming dynasty (c. 1621),阿尔巴雷洛,,0.75
"1962,1231,0.5.1-28",画册/绘画,,,"1962,1231,0.5.1-28",https://www.britishmuseum.org/collection/object/A_1962-1231-0-5-1-28,https://media.britishmuseum.org/Repository/Documents/2014_10/11_17/7931769f_a5cc_404a_a68f_a3c10122f912/large_00681380_001.jpg,Qing dynasty (c. 1820),绘画,,0.75
"1869,0508,0.1",画册/绘画,,,"1869,0508,0.1",https://www.britishmuseum.org/collection/object/A_1869-0508-0-1,,未知,绘画,,0.65
"1948,0710,0.34.16",相册/绘画/油画,,,"1948,0710,0.34.16",https://www.britishmuseum.org/collection/object/A_1948-0710-0-34-16,https://media.britishmuseum.org/Repository/Documents/2014_10/11_22/ca2e2c89_8510_4a91_9c32_a3c1017399b5/large_00710462_001.jpg,19日C,绘画,,0.75
"1934,0512,0.1.1-16",打印/相册,,,"1934,0512,0.1.1-16",https://www.britishmuseum.org/collection/object/A_1934-0512-0-1-1-16,https://media.britishmuseum.org/Repository/Documents/2024_9/3_8/65a92e11_3c4b_49be_b221_b1e00089df62/large_1934_0512_0_1_1_16_2.jpg,未知,打印,,0.65
"1986,0313,0.1.137",摄影印刷品/相册,,,"1986,0313,0.1.137",https://www.britishmuseum.org/collection/object/A_1986-0313-0-1-137,https://media.britishmuseum.org/Repository/Documents/2014_10/11_10/2661933a_41a5_4c68_88ee_a3c100aff110/large_00631037_001.jpg,Qing dynasty (c. 1937),打印,,0.75
"1986,0313,0.1.208",摄影印刷品/相册,,,"1986,0313,0.1.208",https://www.britishmuseum.org/collection/object/A_1986-0313-0-1-208,,Qing dynasty (c. 1936),打印,,0.75
5cc48dc5a511,树木位置图,BBG的樱花,,,https://www.bbg.org/collections/cherries,https://www.bbg.org/img/uploads/cherries/cherrymap2020-02.gif,生活收藏,植物,,0.8
8831d3c5f3a9,一个女人在盛开的樱桃树中微笑,BBG的樱花,,,https://www.bbg.org/collections/cherries,https://www.bbg.org/img/uploads/collections/inline/cherries_membership-ad-v2.jpg,生活收藏,植物,,0.8
20858,蹲式广口瓮,,,09.889.409,https://www.brooklynmuseum.org/objects/20858,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.09.889.409_NegA_print_bw.jpg,Qing dynasty (c. 3500),船舶,,0.7
20886,尖头花瓶,,,09.889.437,https://www.brooklynmuseum.org/objects/20886,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.09.889.437_overall01.jpg,Qing dynasty (c. 3400),船舶,,0.7
20866,罐子,,,09.889.416,https://www.brooklynmuseum.org/objects/20866,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.09.889.416_NegA_print_bw.jpg,Qing dynasty (c. 3400),船舶,,0.7
227129,黑塔莲花I,,,2025.78,https://www.brooklynmuseum.org/objects/227129,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.TL2025.70_overall.jpg,Qing dynasty (c. 2025),陶瓷,,0.7
226957,有人关心,,,2025.72,https://www.brooklynmuseum.org/objects/226957,,Qing dynasty (c. 2025),雕塑,,0.7
227529,边境下的星星,,,2026.6,https://www.brooklynmuseum.org/objects/227529,,Qing dynasty (c. 2025),绘画,,0.7
226910,Ubuntu（人类）,,,2025.61,https://www.brooklynmuseum.org/objects/226910,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.61_front.jpg,Qing dynasty (c. 2025),陶瓷,,0.7
226110,机柜设计,,,2024.65.3,https://www.brooklynmuseum.org/objects/226110,,Qing dynasty (c. 2024),写论文,,0.7
226109,机柜设计,,,2024.65.2,https://www.brooklynmuseum.org/objects/226109,,Qing dynasty (c. 2024),写论文,,0.7
226111,机柜详细设计,,,2024.65.4,https://www.brooklynmuseum.org/objects/226111,,Qing dynasty (c. 2024),写论文,,0.7
225895,我的衣服里面是一个箱子是一棵树是我的肺是我的心是我的家,,,2024.35,https://www.brooklynmuseum.org/objects/225895,,Qing dynasty (c. 2024),写论文,,0.7
225876,你选择月亮,,,2024.57,https://www.brooklynmuseum.org/objects/225876,https://brooklynmuseum.b-cdn.net/collections/objects/2024.57_overall01_PS22.jpg,Qing dynasty (c. 2024),雕塑,,0.7
226553,洞穴壁画,,,2025.27,https://www.brooklynmuseum.org/objects/226553,https://brooklynmuseum.b-cdn.net/collections/objects/2025.27_PS22.jpg,Qing dynasty (c. 2024),安装,,0.7
225893,带一把折叠椅：雪莉·奇泽姆的肖像,,,2025.1,https://www.brooklynmuseum.org/objects/225893,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.1.jpg,Qing dynasty (c. 2024),纺织,,0.7
225904,《带葡萄和羽毛的肖像》（以伊丽莎白·维格·勒布伦为蓝本）,,,2024.77,https://www.brooklynmuseum.org/objects/225904,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2024.77.jpg,Qing dynasty (c. 2024),绘画,,0.7
226669,寻求超越3,,,2025.33,https://www.brooklynmuseum.org/objects/226669,https://brooklynmuseum.b-cdn.net/collections/objects/2025.33_cropped_PS22.jpg,Qing dynasty (c. 2024),绘画,,0.7
227531,流离失所者现场：工作室研究十八,,,2026.8,https://www.brooklynmuseum.org/objects/227531,,Qing dynasty (c. 2024),绘画,,0.7
226696,有色饮料2,,,2025.48.2,https://www.brooklynmuseum.org/objects/226696,https://brooklynmuseum.b-cdn.net/collections/objects/2025.48.2_cropped_PS22.jpg,Qing dynasty (c. 2024),绘画,,0.7
225896,纹身柜,,,2024.65.1,https://www.brooklynmuseum.org/objects/225896,https://brooklynmuseum.b-cdn.net/collections/objects/2024.65.1_front_PS22.jpg,Qing dynasty (c. 2024),家具陈设,,0.7
226384,Jimma椅子,,,2025.10,https://www.brooklynmuseum.org/objects/226384,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.10_Wexler.jpg,Qing dynasty (c. 2024),家具陈设,,0.7
225867,赌博垫,,,2024.39,https://www.brooklynmuseum.org/objects/225867,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2024.39.jpeg,Qing dynasty (c. 2024),集合对象,,0.7
226061,羽毛鸟又名：唐人街歹徒,,,2024.71,https://www.brooklynmuseum.org/objects/226061,https://brooklynmuseum.b-cdn.net/collections/objects/2024.71_PS22.jpg,Qing dynasty (c. 2024),绘画,,0.7
226064,Shabby Lingo,,,2024.72.2,https://www.brooklynmuseum.org/objects/226064,https://brooklynmuseum.b-cdn.net/collections/objects/2024.72.2_cropped_PS22.jpg,Qing dynasty (c. 2024),绘画,,0.7
226063,蓝色迷情,,,2024.72.1,https://www.brooklynmuseum.org/objects/226063,https://brooklynmuseum.b-cdn.net/collections/objects/2024.72.1_cropped_PS22.jpg,Qing dynasty (c. 2024),绘画,,0.7
225881,乔治·威廉，1918年10月13日去世，享年30岁,发射坑,,2024.51,https://www.brooklynmuseum.org/objects/225881,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2024.51_front_Nicola_Vassell_Gallery.jpg,Qing dynasty (c. 2024),船舶,,0.7
225892,启示录的四骑士（32）,,,2023.60,https://www.brooklynmuseum.org/objects/225892,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2023.60.jpg,Qing dynasty (c. 2023),照片,,0.7
225495,获取Reuben的辅导书,,,2023.39,https://www.brooklynmuseum.org/objects/225495,https://brooklynmuseum.b-cdn.net/collections/objects/2023.39_overall_PS22.jpg,Qing dynasty (c. 2023),纺织,,0.7
225769,恩尼在地球上最微弱的毛里轻轻地收到一个日期,,,2023.58,https://www.brooklynmuseum.org/objects/225769,https://brooklynmuseum.b-cdn.net/collections/objects/2023.58_overall_PS20.jpg,Qing dynasty (c. 2023),家具,,0.7
225658,多萝西,,,2023.78,https://www.brooklynmuseum.org/objects/225658,https://brooklynmuseum.b-cdn.net/collections/objects/2023.78_overall01_PS22.jpg,Qing dynasty (c. 2023),雕塑,,0.7
226382,摘自《天涯海角》系列,,,2025.9.1,https://www.brooklynmuseum.org/objects/226382,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.9.1_Jeanette_Spicer.jpg,Qing dynasty (c. 2023),照片,,0.7
226383,摘自《天涯海角》系列,,,2025.9.2,https://www.brooklynmuseum.org/objects/226383,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.9.2_Jeanette_Spicer.jpg,Qing dynasty (c. 2023),照片,,0.7
225656,与驴子合影,,,2024.16,https://www.brooklynmuseum.org/objects/225656,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2024.16_Adam_Reich.jpg,Qing dynasty (c. 2023),绘画,,0.7
225877,自然白痴字符串,,,2024.58a-l,https://www.brooklynmuseum.org/objects/225877,https://brooklynmuseum.b-cdn.net/collections/objects/2024.58a-l_PS22.jpg,Qing dynasty (c. 2023),屏幕,,0.7
226551,豺狼带来新时代,,,2024.18,https://www.brooklynmuseum.org/objects/226551,https://brooklynmuseum.b-cdn.net/collections/objects/2024.18_cropped_PS22.jpg,Qing dynasty (c. 2023),绘画,,0.7
225861,无题,,,2024.42,https://www.brooklynmuseum.org/objects/225861,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2024.42_overall01_David_Kordansky_Gallery.jpg,Qing dynasty (c. 2023),标识,,0.7
226575,她自己就是个鬼屋,,,2024.19,https://www.brooklynmuseum.org/objects/226575,https://brooklynmuseum.b-cdn.net/collections/objects/2024.19_cropped_PS22.jpg,Qing dynasty (c. 2023),绘画,,0.7
226920,暴食，暴食，暴食,,,2025.74a-c,https://www.brooklynmuseum.org/objects/226920,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.TL2025.36_Kavi_Gupta_Gallery.jpg,Qing dynasty (c. 2023),雕塑,,0.7
225894,Meedo壁纸,,,2024.64,https://www.brooklynmuseum.org/objects/225894,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2024.64_Wexler_Gallery.jpg,Qing dynasty (c. 2023),写论文,,0.7
226695,漫步悬崖,,,2025.48.1,https://www.brooklynmuseum.org/objects/226695,https://brooklynmuseum.b-cdn.net/collections/objects/2025.48.1_cropped_PS22.jpg,Qing dynasty (c. 2023),写论文,,0.7
226206,带碗的月光长椅的故事，来自系列Oriki（第二幕）：月光下的故事,,,2025.6,https://www.brooklynmuseum.org/objects/226206,https://brooklynmuseum.b-cdn.net/collections/objects/CUR.2025.6_VERSO.jpg,Qing dynasty (c. 2023),家具陈设,,0.7
