object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,standardized_period,standardized_type,standardized_material,culture,data_quality_score,_displayculture,_displaydate,_displayperiod,_objectnumber,_medium_detail,_image_valid,image_valid,is_duplicate,title_original_en,period_original_en,type_original_en,material_original_en,description_original_en,culture_original_en,credit_line_original_en,standardized_period_original_en,standardized_type_original_en,standardized_material_original_en
134458,无题,1975,,未涂漆帆布上的丙烯酸,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/134458,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2022_98477,,,2018-76 a-c,2026-05-27,1975,未知,未涂漆帆布上的丙烯酸,未知,0.65,,1975,,2018-76 a-c,Acrylic on unprimed canvas,,False,False,Untitled,1975,,Acrylic on unprimed canvas,,Unknown,,1975,Unknown,Acrylic on unprimed canvas
134443,待售,2018,,帆布上有生锈钉子的油画,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/134443,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMOS2018_50646,,,2018-83,2026-05-27,2018,未知,布面油画,未知,0.65,,2018,,2018-83,Oil on canvas with rusted nails,,False,False,To Be Sold,2018,,Oil on canvas with rusted nails,,Unknown,,2018,Unknown,Oil on canvas
134229,Band kylix（酒杯）描绘了神与巨人的战斗（A）；酒神狂欢（B）；两个战士（tondo）；两个战士（脚下）,古代时期，约公元前600-480年,,黑色人物陶瓷,希腊语，阁楼,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/134229,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2018-1933112,,,2018-23,2026-05-27,古希腊时期（约公元前800-480年）,未知,陶瓷,希腊语，阁楼,0.75,"Greek, Attic",ca. 540–525 BCE,"Archaic Period, ca. 600–480 BCE",2018-23,Black-figure ceramic,,False,False,Band kylix (drinking cup) depicting the battle of gods and giants (A); a Dionysian revel (B); two warriors (tondo); two warriors (under foot),"Archaic Period, ca. 600–480 BCE",,Black-figure ceramic,"Greek, Attic","Greek, Attic",,Archaic Greek period (c. 800-480 BCE),Unknown,Ceramic
60812,乌尔拼贴B-XXIV,2008,,纸板、印刷媒体和透明透明透明胶带,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/60812,https://media.artmuseum.princeton.edu/iiif/3/collection/TC2011-24-2_REC,,,2011-37,2026-05-27,2008,未知,纸板、印刷媒体和透明透明透明胶带,未知,0.65,,2008,,2011-37,"Cardboard, print media, and transparent scotch tape",,False,False,Ur-Collage B-XXIV,2008,,"Cardboard, print media, and transparent scotch tape",,Unknown,,2008,Unknown,"Cardboard, print media, and transparent scotch tape"
57306,回忆,2000,,铸造青铜,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/57306,https://media.artmuseum.princeton.edu/iiif/3/collection/PP638_DET1,,,PP638,2026-05-27,2000,未知,青铜,未知,0.65,,2000,,PP638,Cast bronze,,False,False,Remembrance,2000,,Cast bronze,,Unknown,,2000,Unknown,Bronze
56238,格林威治船俱乐部,1833,,布面油画,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/56238,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAM22_2284,,,2009-1,2026-05-27,1833,未知,布面油画,未知,0.65,,1833,,2009-1,Oil on canvas,,False,False,The Greenwich Boat Club,1833,,Oil on canvas,,Unknown,,1833,Unknown,Oil on canvas
55803,《面具舞会》,2004,,高清数字视频,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/55803,https://media.artmuseum.princeton.edu/iiif/3/collection/BILD_1_A,,,2008-321,2026-05-27,2004,未知,高清数字视频,未知,0.65,,2004,,2008-321,High definition digital video,,False,False,Un Ballo in Maschera (A Masked Ball),2004,,High definition digital video,,Unknown,,2004,Unknown,High definition digital video
52959,女人在白色柳条摇杆,1984–85,,青铜，带白色光泽,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/52959,https://media.artmuseum.princeton.edu/iiif/3/collection/TC2007-21-1,,,2007-37,2026-05-27,1984–85,未知,青铜,未知,0.65,,1984–85,,2007-37,Bronze with white patina,,False,False,Woman on White Wicker Rocker,1984–85,,Bronze with white patina,,Unknown,,1984–85,Unknown,Bronze
51102,米德兰轮胎（由伦琴射线拍摄）,1897,,明胶银印,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/51102,https://media.artmuseum.princeton.edu/iiif/3/collection/2006-90,,,2006-90,2026-05-27,1897,未知,明胶银,未知,0.65,,1897,,2006-90,Gelatin silver print,,False,False,Midland Tyre (as photographed by the Röntgen Rays),1897,,Gelatin silver print,,Unknown,,1897,Unknown,Gelatin silver
40352,埃米琳·斯蒂格利茨和凯瑟琳·斯蒂格利茨,1899–1900,,或白金版,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/40352,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2018_45111,,,x1983-1519,2026-05-27,清朝（1899-1900）,未知,或白金版,未知,0.65,,1899–1900,,x1983-1519,Platinum print,,False,False,Emmeline Stieglitz and Katherine Stieglitz,1899–1900,,Platinum print,,Unknown,,Qing dynasty (1899-1900),Unknown,Platinum print
38924,带有酒神场景的杯子,罗马帝国时期，约公元前30年-公元476年,,镀金银,罗马,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/38924,https://media.artmuseum.princeton.edu/iiif/3/collection/2000-356_A2,,,2000-356,2026-05-27,罗马帝国时期（公元前27年至公元476年）,未知,银,罗马,0.75,Roman,early 1st century CE,"Roman Imperial Period, ca. 30 BCE–476 CE",2000-356,Gilt silver,,False,False,Cup with Dionysian scene,"Roman Imperial Period, ca. 30 BCE–476 CE",,Gilt silver,Roman,Roman,,Roman Imperial period (27 BCE-476 CE),Unknown,Silver
37489,女性侧面照片,约1935年,,明胶银印,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/37489,https://media.artmuseum.princeton.edu/iiif/3/collection/2000-4_GS,,,2000-4,2026-05-27,约1935年,未知,明胶银,未知,0.65,,ca. 1935,,2000-4,Gelatin silver print,,False,False,Photogram of woman in profile,ca. 1935,,Gelatin silver print,,Unknown,,ca. 1935,Unknown,Gelatin silver
37279,Lakamtuun（石碑，字面意思是“大石头”）,古典时期早期,,石灰岩,玛雅,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/37279,https://media.artmuseum.princeton.edu/iiif/3/collection/1999-232_FRN,,,1999-232,2026-05-27,古典时期早期,未知,石灰岩,玛雅,0.75,Maya,300–500 CE,Early Classic Period,1999-232,Limestone,,False,False,"Lakamtuun (stela, literally “big stone”)",Early Classic Period,,Limestone,Maya,Maya,,Early Classic Period,Unknown,Limestone
33643,赫拉克勒斯,罗马帝国时期，约公元前30年-公元476年,,玉髓,罗马,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/33643,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMANX25_250130_19535,,,y1992-50,2026-05-27,罗马帝国时期（公元前27年至公元476年）,未知,玉髓,罗马,0.75,Roman,2nd century CE,"Roman Imperial Period, ca. 30 BCE–476 CE",y1992-50,Chalcedony,,False,False,Hercules,"Roman Imperial Period, ca. 30 BCE–476 CE",,Chalcedony,Roman,Roman,,Roman Imperial period (27 BCE-476 CE),Unknown,Chalcedony
33564,四福音,约1612年至1615年,,布面油画,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/33564,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2038968,,,y1991-41,2026-05-27,约1612年至1615年,未知,布面油画,未知,0.65,,ca. 1612–15,,y1991-41,Oil on canvas,,False,False,The Four Evangelists,ca. 1612–15,,Oil on canvas,,Unknown,,ca. 1612–15,Unknown,Oil on canvas
33539,穿越黑麦,1902,,青铜,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/33539,https://media.artmuseum.princeton.edu/iiif/3/collection/y1991-5_FRN,,,y1991-5,2026-05-27,1902,未知,青铜,未知,0.65,,1902,,y1991-5,Bronze,,False,False,Coming through the Rye,1902,,Bronze,,Unknown,,1902,Unknown,Bronze
32473,Pwoom伊托克口罩,20世纪初,,木材、拉菲草、染料、贝壳、珍珠鸡羽毛和油漆,库巴,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/32473,https://media.artmuseum.princeton.edu/iiif/3/collection/y1980-25,,,y1980-25,2026-05-27,20世纪初,未知,外壳,库巴,0.75,Kuba,early 20th century,,y1980-25,"Wood, raffia, dye, cowrie shells, guinea-fowl feathers, and paint",,False,False,Pwoom itok mask,early 20th century,,"Wood, raffia, dye, cowrie shells, guinea-fowl feathers, and paint",Kuba,Kuba,,early 20th century,Unknown,Shell
32221,Uk'ib（酒杯）描绘神话场景,古典晚期,,带有红色、奶油色和黑色滑溜的陶瓷，以及涂漆灰泥的残留物,玛雅（Codex风格）,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/32221,https://media.artmuseum.princeton.edu/iiif/3/collection/y1975-17,,,y1975-17,2026-05-27,古典晚期,未知,陶瓷,玛雅（Codex风格）,0.75,Maya (Codex style),670–750,Late Classic Period,y1975-17,"Ceramic with red, cream, and black slip, and remnants of painted stucco",,False,False,Uk’ib (drinking cup) depicting a mythological scene,Late Classic Period,,"Ceramic with red, cream, and black slip, and remnants of painted stucco",Maya (Codex style),Maya (Codex style),,Late Classic Period,Unknown,Ceramic
29551,描绘赫拉克勒斯和狄俄尼索斯饮酒比赛的马赛克人行道,公元3世纪初,,石头和玻璃,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/29551,https://media.artmuseum.princeton.edu/iiif/3/collection/y1965-216_ortho,,,y1965-216,2026-05-27,公元3世纪初,未知,石头,未知,0.65,,early 3rd century CE,,y1965-216,Stone and glass,,False,False,Mosaic pavement depicting the drinking contest between Herakles and Dionysos,early 3rd century CE,,Stone and glass,,Unknown,,early 3rd century CE,Unknown,Stone
23744,圣玛德琳教堂（圣抹大拉玛丽教堂）的首都，韦泽莱（法国勃艮第）,1140s,,石头,法语,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/23744,https://media.artmuseum.princeton.edu/iiif/3/collection/y1949-117,,,y1949-117,2026-05-27,1140s,未知,石头,法语,0.75,French,1140s,,y1949-117,Stone,,False,False,"Capital from the Church of Sainte Madeleine (Saint Mary Magdalene), Vézelay (Burgundy, France)",1140s,,Stone,French,French,,1140s,Unknown,Stone
22247,苍鹭之家,1891,,布面油画,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/22247,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMANX25_JE19583,,,y1943-93,2026-05-27,1891,未知,布面油画,未知,0.65,,1891,,y1943-93,Oil on canvas,,False,False,The Home of the Heron,1891,,Oil on canvas,,Unknown,,1891,Unknown,Oil on canvas
14878,纳西莎的最后一朵兰花,1940,,粉彩,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/14878,https://media.artmuseum.princeton.edu/iiif/3/collection/x1982-357,,,x1982-357,2026-05-27,1940,未知,粉彩,未知,0.65,,1940,,x1982-357,Pastel,,False,False,Narcissa's Last Orchid,1940,,Pastel,,Unknown,,1940,Unknown,Pastel
14756,敦巴顿长老会,1845年3月29日,,盐渍纸印刷,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/14756,https://media.artmuseum.princeton.edu/iiif/3/collection/x1982-300,,,x1982-300,2026-05-27,1845年3月29日,未知,盐渍纸印刷,未知,0.65,,"March 29, 1845",,x1982-300,Salted paper print,,False,False,Dumbarton Presbytery,"March 29, 1845",,Salted paper print,,Unknown,,"March 29, 1845",Unknown,Salted paper print
10056,圣方济各在树下祈祷,1657,,干点和蚀刻,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/10056,https://media.artmuseum.princeton.edu/iiif/3/collection/x1959-27,,,x1959-27,2026-05-27,1657,未知,干点和蚀刻,未知,0.65,,1657,,x1959-27,Drypoint and etching,,False,False,Saint Francis Praying beneath a Tree,1657,,Drypoint and etching,,Unknown,,1657,Unknown,Drypoint and etching
8898,梅伦科利亚一世,1514,,雕刻,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/8898,https://media.artmuseum.princeton.edu/iiif/3/collection/INV25586,,,x1952-1,2026-05-27,1514,未知,雕刻,未知,0.65,,1514,,x1952-1,Engraving,,False,False,Melencolia I,1514,,Engraving,,Unknown,,1514,Unknown,Engraving
137492,《纽约时报》，1996年5月26日，星期日,1996,,新闻纸上的水粉、丙烯酸和石墨,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/137492,https://media.artmuseum.princeton.edu/iiif/3/collection/DSC_2462,,,2020-60,2026-05-27,1996,未知,水粉画,未知,0.65,,1996,,2020-60,"Gouache, acrylic, and graphite on newsprint",,False,False,"New York Times, Sunday, May 26, 1996",1996,,"Gouache, acrylic, and graphite on newsprint",,Unknown,,1996,Unknown,Gouache
137483,《纽约时报》，1996年4月1日，星期一,1996,,新闻纸上的水粉、丙烯酸和石墨,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/137483,https://media.artmuseum.princeton.edu/iiif/3/collection/DSC_2537,,,2020-51,2026-05-27,1996,未知,水粉画,未知,0.65,,1996,,2020-51,"Gouache, acrylic, and graphite on newsprint",,False,False,"New York Times, Monday, April 1, 1996",1996,,"Gouache, acrylic, and graphite on newsprint",,Unknown,,1996,Unknown,Gouache
137477,《纽约时报》，1996年3月10日，星期日,1996,,新闻纸上的水粉、丙烯酸和石墨,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/137477,https://media.artmuseum.princeton.edu/iiif/3/collection/DSC_2446,,,2020-45,2026-05-27,1996,未知,水粉画,未知,0.65,,1996,,2020-45,"Gouache, acrylic, and graphite on newsprint",,False,False,"New York Times, Sunday, March 10, 1996",1996,,"Gouache, acrylic, and graphite on newsprint",,Unknown,,1996,Unknown,Gouache
137427,戴帽子的大爸爸,1971,,彩色丝网印刷,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/137427,https://media.artmuseum.princeton.edu/iiif/3/collection/TC2020-16-1,,,2020-320,2026-05-27,1971,未知,彩色丝网印刷,未知,0.65,,1971,,2020-320,Color screenprint,,False,False,Big Daddy with Hats,1971,,Color screenprint,,Unknown,,1971,Unknown,Color screenprint
137169,垫子120×165#19-01,2019,,三联画；涂漆钢、编织染色华木锡、线、木框架、黄铜螺栓和皮革废料,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/137169,https://media.artmuseum.princeton.edu/iiif/3/collection/TC2019-135,,,2020-1 a-c,2026-05-27,2019,未知,黄铜,未知,0.65,,2019,,2020-1 a-c,"Triptych; painted steel, woven dyed Hwamunseok, thread, wood frame, brass bolt, and leather scraps",,False,False,Mat 120 × 165 #19-01,2019,,"Triptych; painted steel, woven dyed Hwamunseok, thread, wood frame, brass bolt, and leather scraps",,Unknown,,2019,Unknown,Brass
137157,La Tapisserie，来自照片纪念品,2012,,红线增强数码印花,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/137157,https://media.artmuseum.princeton.edu/iiif/3/collection/TC2019-130,,,2020-7,2026-05-27,2012,未知,红线增强数码印花,未知,0.65,,2012,,2020-7,Digital print enhanced with red thread,,False,False,"La Tapisserie, from Photos-Souvenirs",2012,,Digital print enhanced with red thread,,Unknown,,2012,Unknown,Digital print enhanced with red thread
137156,第一和第二美女组合（左：贝蒂·戴维斯、奥黛丽·赫本、格蕾丝·凯利、索菲娅·罗兰、玛丽莲·梦露。右：简·方达、杰奎琳·比塞特、黛安·基顿、布鲁克·希尔兹、梅丽尔·斯特里普）,1982,,Diptych：电脑生成的底片上的两张明胶银版画,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/137156,https://media.artmuseum.princeton.edu/iiif/3/collection/TC2019-129,,,2020-33 a-b,2026-05-27,1982,未知,明胶银,未知,0.65,,1982,,2020-33 a-b,Diptych: two gelatin silver prints from computer generated negatives,,False,False,"First and Second Beauty Composites (Left: Bette Davis, Audrey Hepburn, Grace Kelly, Sophia Loren, Marilyn Monroe. Right: Jane Fonda, Jacqueline Bisset, Diane Keaton, Brooke Shields, Meryl Streep)",1982,,Diptych: two gelatin silver prints from computer generated negatives,,Unknown,,1982,Unknown,Gelatin silver
137152,火焰燃烧器Ann Zarik,1943年，约2000年印刷,,明胶银印,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/137152,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU_E_2019_36073,,,2020-2,2026-05-27,1943年，约2000年印刷,未知,明胶银,未知,0.65,,"1943, printed ca. 2000",,2020-2,Gelatin silver print,,False,False,Flame Burner Ann Zarik,"1943, printed ca. 2000",,Gelatin silver print,,Unknown,,"1943, printed ca. 2000",Unknown,Gelatin silver
136896,名贵布料（munnyuure）,20世纪初至中期,,棉花和染料,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/136896,https://media.artmuseum.princeton.edu/iiif/3/collection/2019-275_VEN,,,2019-275,2026-05-27,20世纪初至中期,未知,棉花,未知,0.65,,early to mid-20th century,,2019-275,Cotton and dye,,False,False,Prestige cloth (munnyuure),early to mid-20th century,,Cotton and dye,,Unknown,,early to mid-20th century,Unknown,Cotton
135904,Aquilla（金属烧杯）,中期后期,,金,兰巴耶克,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/135904,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2018-1959822,,,2019-233,2026-05-27,中期后期,未知,金,兰巴耶克,0.75,Lambeyeque,850–1300,Late Intermediate Period,2019-233,Gold,,False,False,Aquilla (metal beaker),Late Intermediate Period,,Gold,Lambeyeque,Lambeyeque,,Late Intermediate Period,Unknown,Gold
135887,右牧师詹姆斯F.拉夫林,1902,,布面油画,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/135887,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAM21GA41466,,,2019-264,2026-05-27,1902,未知,布面油画,未知,0.65,,1902,,2019-264,Oil on canvas,,False,False,The Right Reverend James F. Loughlin,1902,,Oil on canvas,,Unknown,,1902,Unknown,Oil on canvas
135811,奥拉,约1890年,,白色和黑色滑漆陶瓷,特苏基,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/135811,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2020_62900,,,2019-218,2026-05-27,约1890年,未知,陶瓷,特苏基,0.75,Tesuque,ca. 1890,,2019-218,Ceramic with white and black slip-paint,,False,False,Olla,ca. 1890,,Ceramic with white and black slip-paint,Tesuque,Tesuque,,ca. 1890,Unknown,Ceramic
135798,鸭子,约1890年,,带多色滑片的陶瓷,哈克（阿科玛）,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/135798,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2020_62846,,,2019-210,2026-05-27,约1890年,未知,陶瓷,哈克（阿科玛）,0.75,Haak’u (Acoma),ca. 1890,,2019-210,Ceramic with polychrome slip,,False,False,Duck,ca. 1890,,Ceramic with polychrome slip,Haak’u (Acoma),Haak’u (Acoma),,ca. 1890,Unknown,Ceramic
135691,鹌鹑形状的桥嘴容器,早期中期,,带多色滑片的陶瓷,纳斯卡,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/135691,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2020_62992,,,2019-247,2026-05-27,早期中期,未知,陶瓷,纳斯卡,0.75,Nasca,100–500 CE,Early Intermediate Period,2019-247,Ceramic with polychrome slip,,False,False,Bridge-spout vessel in the form of a quail,Early Intermediate Period,,Ceramic with polychrome slip,Nasca,Nasca,,Early Intermediate Period,Unknown,Ceramic
135671,伸出援手，马特岭，努伊岛,1966年10月5日，1987年印刷,,染料转移印花,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/135671,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU_E_2019_34889,,,2019-117,2026-05-27,1966年10月5日，1987年印刷,未知,染料转移印花,未知,0.65,,"October 5, 1966, printed 1987",,2019-117,Dye transfer print,,False,False,"Reaching Out, Mutter Ridge, Nui Cay Tri","October 5, 1966, printed 1987",,Dye transfer print,,Unknown,,"October 5, 1966, printed 1987",Unknown,Dye transfer print
135610,游行队伍以美国国会大厦为背景，向华盛顿进军，争取就业和自由,1963年8月28日,,明胶银印,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/135610,https://media.artmuseum.princeton.edu/iiif/3/collection/TC2019-47-2,,,2019-162,2026-05-27,1963年8月28日,未知,明胶银,未知,0.65,,"August 28, 1963",,2019-162,Gelatin silver print,,False,False,"Line of marchers with U.S. Capitol in background, March on Washington for Jobs and Freedom","August 28, 1963",,Gelatin silver print,,Unknown,,"August 28, 1963",Unknown,Gelatin silver
135609,马丁·路德·金。,1963年，1998年印刷,,明胶银印,,,Princeton University Art Museum,"Princeton, United States",https://artmuseum.princeton.edu/art/collections/135609,https://media.artmuseum.princeton.edu/iiif/3/collection/PUAMSTU2022_1044,,,2019-108,2026-05-27,1963年，1998年印刷,未知,明胶银,未知,0.65,,"1963, printed 1998",,2019-108,Gelatin silver print,,False,False,"Martin Luther King, Jr.","1963, printed 1998",,Gelatin silver print,,Unknown,,"1963, printed 1998",Unknown,Gelatin silver
