name,era
Qing dynasty (c. 1972),Unknown
Qing dynasty (c. 1995),Unknown
Qing dynasty (c. 1783),Unknown
Early Intermediate Period (Middle Nasca phase),Unknown
Qing dynasty (c. 1969),Unknown
Ming dynasty (c. 1635),Unknown
Late Formative Period (Providencia phase),Unknown
Qing dynasty (c. 1926),Unknown
Qing dynasty (c. 1933),Unknown
Qing dynasty (c. 1978),Unknown
Qing dynasty (c. 1987),Unknown
Chicoid,Unknown
Qing dynasty (c. 1979),Unknown
Qing dynasty (c. 2001),Unknown
16th–early 20th century,Unknown
Qing dynasty (c. 1908),Unknown
c. 300 CE,Unknown
Late Postclassic Period,Unknown
18th–19th century,Unknown
Early Horizon (Ocucaje 7–8),Unknown
20th century,Unknown
Tang dynasty (c. 700),Unknown
Qing dynasty (c. 1973),Unknown
Ming dynasty (c. 1643),Unknown
Qing dynasty (c. 1764),Unknown
Qing dynasty (c. 1981),Unknown
Qing dynasty (c. 1646),Unknown
Early Formative Period,Unknown
Qing dynasty (c. 1824),Unknown
Qing dynasty (c. 1941),Unknown
Middle Formative Period,Unknown
late 13th century,Unknown
Qing dynasty (c. 1817),Unknown
Qing dynasty (c. 1796),Unknown
Middle Horizon,Unknown
late 19th–20th century,Unknown
late 19th or early 20th century,Unknown
Qing dynasty (c. 1660),Unknown
Qing dynasty (c. 1910),Unknown
Qing dynasty (c. 1985),Unknown
Qing dynasty (c. 1936),Unknown
Qing dynasty (c. 2006),Unknown
Qing dynasty (c. 1967),Unknown
Qing dynasty (c. 1929),Unknown
Qing dynasty (c. 1654),Unknown
Qing dynasty (c. 1872),Unknown
Qing dynasty (c. 1814),Unknown
Qing dynasty (c. 1851),Unknown
Ming dynasty (c. 1591),Unknown
Ming dynasty (c. 1524),Unknown
Qing dynasty (c. 1917),Unknown
Qing dynasty (c. 2007),Unknown
late 15th–early 16th century,Unknown
Qing dynasty (c. 1905),Unknown
Qing dynasty (c. 1892),Unknown
Qing dynasty (c. 1983),Unknown
Qing dynasty (c. 1988),Unknown
Qing dynasty (c. 1909),Unknown
late 20th century,Unknown
Qing dynasty (c. 1986),Unknown
Qing dynasty (c. 1790),Unknown
Qing dynasty (c. 1964),Unknown
Qing dynasty (c. 1726),Unknown
Qing dynasty (c. 1968),Unknown
Qing dynasty (c. 1976),Unknown
Qing dynasty (c. 1977),Unknown
Qing dynasty (c. 1915),Unknown
Qing dynasty (c. 1958),Unknown
Qing dynasty (c. 1912),Unknown
Qing dynasty (c. 1864),Unknown
Qing dynasty (c. 1806),Unknown
Qing dynasty (c. 1812),Unknown
Qing dynasty (c. 1939),Unknown
Qing dynasty (c. 1990),Unknown
Cypro-Geometric,Unknown
Qing dynasty (c. 1931),Unknown
Qing dynasty (c. 1928),Unknown
Qing dynasty (c. 1827),Unknown
Qing dynasty (c. 1816),Unknown
Qing dynasty (c. 1811),Unknown
Qing dynasty (c. 1840),Unknown
ca. early 20th century,Unknown
late 20th or early 21st century,Unknown
Qing dynasty (c. 1938),Unknown
Qing dynasty (c. 1913),Unknown
Qing dynasty (c. 1916),Unknown
Qing dynasty (c. 1997),Unknown
probably second half of 20th century,Unknown
Qing dynasty (c. 1810),Unknown
late 19th century,Unknown
Ming dynasty (c. 1636),Unknown
Ming dynasty (c. 1505),Unknown
Late Intermediate Period to Late Horizon,Unknown
Early Horizon,Unknown
Qing dynasty (c. 1961),Unknown
Late Intermediate Period to Early Horizon,Unknown
Early Intermediate Period (Nasca phases 2-3),Unknown
Early Intermediate Period (Moche phase II),Unknown
Middle Horizon (Middle Horizon 2B),Unknown
Ming dynasty (c. 1608),Unknown
Mitannian,Unknown
17th century,Unknown
Chicoid (Boca Chica),Unknown
Integration Period,Unknown
Hellenistic period (323-31 BCE),Hellenistic
"Early Ptolemaic Period, ca. 304–30 BCE",Unknown
possibly 19th century,Unknown
Ming dynasty (c. 1630),Unknown
Ming dynasty (c. 1634),Unknown
Ming dynasty (c. 1586),Unknown
Qing dynasty (c. 1755),Unknown
Mogollon Brown Ware,Unknown
Cibola White Ware,Unknown
Classic Black-on-White (Style III),Unknown
Qing dynasty (c. 1830),Unknown
19th or 20th century,Unknown
Regional Development Period (Imguapí II),Unknown
Qing dynasty (c. 1733),Unknown
Qing dynasty (c. 1671),Unknown
Qing dynasty (c. 1911),Unknown
Ming dynasty (c. 1550),Unknown
Qing dynasty (c. 2003),Unknown
Ming dynasty (c. 1622),Unknown
Ming dynasty (c. 1628),Unknown
Boldface Black-on-White (Style II),Unknown
Ming dynasty (c. 1594),Unknown
Modern period,Modern
Ming dynasty (c. 1588),Unknown
Qing dynasty (c. 1725),Unknown
Period IV,Unknown
Period V,Unknown
Period IV or Period V,Unknown
Qing dynasty (c. 1777),Unknown
Qing dynasty (c. 1856),Unknown
Qing dynasty (c. 1953),Unknown
Meiji period (1868-1912),Modern Japan
Qing dynasty (c. 1954),Unknown
Qing dynasty (c. 1903),Unknown
Late Formative Period,Unknown
4th–5th century CE,Unknown
"Roosevelt Red Ware, Tonto polychrome",Unknown
"Roosevelt Red Ware, Gila polychrome",Unknown
early 16th century,Unknown
Qing dynasty (c. 1653),Unknown
Ming dynasty (c. 1627),Unknown
Qing dynasty (c. 1779),Unknown
5th century CE,Unknown
c. 332 BCE,Unknown
Qing dynasty (c. 1919),Unknown
Late Horizon,Unknown
Qing dynasty (c. 1821),Unknown
Qing dynasty (c. 1808),Unknown
Ming dynasty (c. 1561),Unknown
Qing dynasty (c. 1841),Unknown
Qing dynasty (c. 1839),Unknown
Qing dynasty (c. 1838),Unknown
Qing dynasty (c. 1847),Unknown
18th century,Unknown
Qing dynasty (c. 1869),Unknown
mid–20th century,Unknown
c. 400 CE,Unknown
undated,Unknown
undated; 18th–19th century?,Unknown
end of the 4th century BCE,Unknown
Qing dynasty (c. 1771),Unknown
Ming dynasty (c. 1515),Unknown
first quarter of 5th century BCE,Unknown
7th–9th century,Unknown
c. 550 BCE,Unknown
Geometric,Unknown
c. 100 CE,Unknown
1st–4th century CE,Unknown
early 6th century BCE,Unknown
late 6th century BCE,Unknown
Tang dynasty (c. 909),Unknown
Tang dynasty (c. 775),Unknown
3rd–4th century CE,Unknown
Qing dynasty (c. 1743),Unknown
late 18th–early 19th century,Unknown
Qing dynasty (c. 1795),Unknown
c. 589 CE,Unknown
c. 550 CE,Unknown
c. 577 CE,Unknown
Ming dynasty (c. 1548),Unknown
Historic,Unknown
Qing dynasty (c. 1825),Unknown
c. 581 CE,Unknown
c. 256 BCE,Unknown
9th–11th century,Unknown
13th–14th century,Unknown
Qing dynasty (c. 1769),Unknown
